#Time	Azimuth	Altitude	Radiation

2018-01-28T00:10:00	350.9674759463795	-55.77694248764723	0.0

2018-01-28T00:20:00	346.7956231414733	-55.47991460212315	0.0

2018-01-28T00:30:00	342.6889192974603	-55.075242779394614	0.0

2018-01-28T00:40:00	338.66400424138624	-54.566888163333026	0.0

2018-01-28T00:50:00	334.7346712135567	-53.959583138180825	0.0

2018-01-28T01:00:00	330.91167332070637	-53.25864915578359	0.0

2018-01-28T01:10:00	327.20272734566925	-52.469814025386334	0.0

2018-01-28T01:20:00	323.61268191448244	-51.59904114787304	0.0

2018-01-28T01:30:00	320.14380192111736	-50.65237893354836	0.0

2018-01-28T01:40:00	316.79612233755756	-49.63583517830093	0.0

2018-01-28T01:50:00	313.5678300202239	-48.55527791942338	0.0

2018-01-28T02:00:00	310.4556411338523	-47.41636183142963	0.0

2018-01-28T02:10:00	307.45515195890584	-46.22447768981599	0.0

2018-01-28T02:20:00	304.56114852658305	-44.984721002790366	0.0

2018-01-28T02:30:00	301.7678720647599	-43.70187733882207	0.0

2018-01-28T02:40:00	299.06923553122306	-42.380419200848095	0.0

2018-01-28T02:50:00	296.45899705540296	-41.02451246450598	0.0

2018-01-28T03:00:00	293.93089383496465	-39.638029219716785	0.0

2018-01-28T03:10:00	291.4787422804038	-38.224564909400996	0.0

2018-01-28T03:20:00	289.096510136466	-36.78745806280467	0.0

2018-01-28T03:30:00	286.77836592829004	-35.32981133413216	0.0

2018-01-28T03:40:00	284.5187106507919	-33.85451300833956	0.0

2018-01-28T03:50:00	282.3121948736573	-32.364257718297736	0.0

2018-01-28T04:00:00	280.15372692223735	-30.861567422462247	0.0

2018-01-28T04:10:00	278.0384718533239	-29.348810385625125	0.0

2018-01-28T04:20:00	275.96184570047683	-27.828219488798606	0.0

2018-01-28T04:30:00	273.9195058129777	-26.30190921646646	0.0

2018-01-28T04:40:00	271.90733875033254	-24.771891403077884	0.0

2018-01-28T04:50:00	269.9214467699311	-23.240089779948732	0.0

2018-01-28T05:00:00	267.9581336640015	-21.708353376197152	0.0

2018-01-28T05:10:00	266.01389065152426	-20.17846894976434	0.0

2018-01-28T05:20:00	264.08538196302953	-18.652171909502968	0.0

2018-01-28T05:30:00	262.16943238460414	-17.131157348071966	0.0

2018-01-28T05:40:00	260.263014370218	-15.617089204643792	0.0

2018-01-28T05:50:00	258.363236839726	-14.111609165505385	0.0

2018-01-28T06:00:00	256.46733500387876	-12.616344749035415	0.0

2018-01-28T06:10:00	254.57266141671505	-11.132916724066737	0.0

2018-01-28T06:20:00	252.67667833201187	-9.662945905684362	0.0

2018-01-28T06:30:00	250.77695140596825	-8.20805935518366	0.0

2018-01-28T06:40:00	248.87114491905322	-6.769896099516512	0.0

2018-01-28T06:50:00	246.95701778333137	-5.350111799590699	0.0

2018-01-28T07:00:00	245.03242229303953	-3.9503838092416794	0.0

2018-01-28T07:10:00	243.0953030888058	-2.5724146770736094	0.0

2018-01-28T07:20:00	241.1436982757636	-1.2179355124272704	0.0

2018-01-28T07:30:00	239.1757419682387	0.5715996544938119	0.0009013241200441736

2018-01-28T07:40:00	237.1896683810586	1.7338924781268197	11.654002395419042

2018-01-28T07:50:00	235.18381748768167	2.925837729830808	77.63348884348363

2018-01-28T08:00:00	233.15664221925573	4.118173749672289	172.50138631289258

2018-01-28T08:10:00	231.1067173065719	5.294851218546834	266.5547058940609

2018-01-28T08:20:00	229.03274886297493	6.4468952132749395	349.87318441926635

2018-01-28T08:30:00	226.9335866704369	7.5686208409928835	421.029666545649

2018-01-28T08:40:00	224.80823626057582	8.655935590641898	481.1812518552667

2018-01-28T08:50:00	222.6558726294706	9.705568052050596	532.0177246644458

2018-01-28T09:00:00	220.4758545179888	10.714698568378113	575.132369860623

2018-01-28T09:10:00	218.26773902884463	11.680773442037	611.8675167296707

2018-01-28T09:20:00	216.031296195849	12.601408575085816	643.3100857325854

2018-01-28T09:30:00	213.76652301990515	13.474339580657055	670.3282035394504

2018-01-28T09:40:00	211.4736565919277	14.297397507802053	693.613302424504

2018-01-28T09:50:00	209.15318478080826	15.068499844765268	713.7171779200391

2018-01-28T10:00:00	206.80585617477232	15.785650202803394	731.0818867363084

2018-01-28T10:10:00	204.43268554982774	16.44694446086351	746.0630706716407

2018-01-28T10:20:00	202.03495653256346	17.05058048375704	758.9478805687776

2018-01-28T10:30:00	199.61421997166872	17.594870380797943	769.968691193931

2018-01-28T10:40:00	197.17228764766264	18.07825424611092	779.3135876081916

2018-01-28T10:50:00	194.711220968338	18.499314581274355	787.1343878305084

2018-01-28T11:00:00	192.2333144173407	18.856790720857145	793.5527796118419

2018-01-28T11:10:00	189.7410739137472	19.14959263664938	798.6650008127323

2018-01-28T11:20:00	187.23718925952107	19.3768136853517	802.5453819387473

2018-01-28T11:30:00	184.72450361037795	19.537741529874204	805.2489769046755

2018-01-28T11:40:00	182.2059772601599	19.631867206481786	806.8134547114656

2018-01-28T11:50:00	179.6846490712694	19.658891689302212	807.2603621869201

2018-01-28T12:00:00	177.16359557928035	19.61872983026058	806.5958354012462

2018-01-28T12:10:00	174.64588902583807	19.511511496797254	804.8108010247971

2018-01-28T12:20:00	172.13455551828122	19.337579867843058	801.8806794280108

2018-01-28T12:30:00	169.6325344739846	19.097486951294773	797.764572220926

2018-01-28T12:40:00	167.14264061936933	18.791986518545333	792.4038869138074

